ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
06A,"Kizhuyak, AK",DGB,"Danger Bay, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
09A,"Homer, AK",ADQ,"Kodiak, AK"
09A,"Homer, AK",ADQ,"Kodiak, AK"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
3NY,"Suffolk, NY",CDW,"Caldwell, NJ"
6B0,"Middlebury, VT",TEB,"Teterboro, NJ"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",AKN,"King Salmon, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
9NY,"Shelter Island, NY",ROC,"Rochester, NY"
A03,"Hallo Bay, AK",HOM,"Homer, AK"
A03,"Hallo Bay, AK",A43,"Kodiak Island, AK"
A09,"Johnstone Point, AK",ANC,"Anchorage, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",ANC,"Anchorage, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A29,"Kiluda Bay, AK",EHR,"Eagle Harbor, AK"
A31,"Selief Bay, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",BFB,"Blue Fox Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KMY,"Moser Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",KWP,"West Point, AK"
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
A43,"Kodiak Island, AK",UGI,"Uganik, AK"
A43,"Kodiak Island, AK",DGB,"Danger Bay, AK"
A43,"Kodiak Island, AK",01A,"Afognak Lake, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
A43,"Kodiak Island, AK",A03,"Hallo Bay, AK"
A43,"Kodiak Island, AK",A29,"Kiluda Bay, AK"
A43,"Kodiak Island, AK",A31,"Selief Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KKL,"Karluk Lake, AK"
A43,"Kodiak Island, AK",KLN,"Larsen Bay, AK"
A43,"Kodiak Island, AK",KMY,"Moser Bay, AK"
A43,"Kodiak Island, AK",KOZ,"Ouzinkie, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
A43,"Kodiak Island, AK",ONN,"Onion Bay, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",WQX,"Kiavak, AK"
A72,"Chinitna Bay, AK",HOM,"Homer, AK"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA"
ABE,"Allentown/Bethlehem/Easton, PA",HPN,"White Plains, NY"
ABE,"Allentown/Bethlehem/Easton, PA",JFK,"New York, NY"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",MYR,"Myrtle Beach, SC"
ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL"
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN"
ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St. Petersburg, FL"
ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL"
ABE,"Allentown/Bethlehem/Easton, PA",SRQ,"Sarasota/Bradenton, FL"
ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL"
ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN"
ABE,"Allentown/Bethlehem/Easton, PA",GPT,"Gulfport/Biloxi, MS"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC"
ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN"
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX"
ABE,"Allentown/Bethlehem/Easton, PA",AFW,"Dallas/Fort Worth, TX"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",ITH,"Ithaca/Cortland, NY"
ABE,"Allentown/Bethlehem/Easton, PA",PHL,"Philadelphia, PA"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",ILN,"Wilmington, OH"
ABE,"Allentown/Bethlehem/Easton, PA",SBD,"San Bernardino, CA"
ABI,"Abilene, TX",AFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",AFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABL,"Ambler, AK",WLK,"Selawik, AK"
ABL,"Ambler, AK",WTK,"Noatak, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",IAN,"Kiana, AK"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM"
